transaction_id,timestamp,amount,payment_method,status,failure_reason
TXN00001,2026-09-01 18:54:00,3848,UPI,Success,
TXN00002,2026-09-01 11:48:00,4772,Card,Success,
TXN00003,2026-09-01 17:18:00,3048,Card,Failed,Bank timeout
TXN00004,2026-09-01 11:43:00,7823,Card,Failed,Insufficient funds
TXN00005,2026-09-01 20:13:00,21495,Card,Success,
TXN00006,2026-09-01 15:39:00,19509,UPI,Success,
TXN00007,2026-09-01 20:57:00,5431,Card,Success,
TXN00008,2026-09-01 10:39:00,7255,Wallet,Success,
TXN00009,2026-09-01 09:34:00,12649,UPI,Success,
TXN00010,2026-09-01 18:18:00,8867,NetBanking,Success,
TXN00011,2026-09-01 17:09:00,4290,Wallet,Success,
TXN00012,2026-09-01 17:25:00,9806,NetBanking,Success,
TXN00013,2026-09-01 14:10:00,19118,UPI,Failed,Insufficient funds
TXN00014,2026-09-01 21:11:00,9682,Wallet,Success,
TXN00015,2026-09-01 09:43:00,12655,UPI,Success,
TXN00016,2026-09-01 14:13:00,5529,UPI,Success,
TXN00017,2026-09-01 12:33:00,23197,NetBanking,Success,
TXN00018,2026-09-01 18:23:00,21006,UPI,Success,
TXN00019,2026-09-01 10:47:00,15347,UPI,Success,
TXN00020,2026-09-01 18:55:00,22749,Card,Success,
TXN00021,2026-09-01 21:06:00,2032,UPI,Failed,Network error
TXN00022,2026-09-01 14:50:00,8973,UPI,Success,
TXN00023,2026-09-01 17:40:00,23724,UPI,Success,
TXN00024,2026-09-01 14:45:00,21264,UPI,Success,
TXN00025,2026-09-01 12:12:00,24611,Card,Success,
TXN00026,2026-09-01 17:58:00,14238,NetBanking,Success,
TXN00027,2026-09-01 11:44:00,4732,Card,Success,
TXN00028,2026-09-01 08:48:00,3792,UPI,Success,
TXN00029,2026-09-01 19:36:00,14033,Card,Success,
TXN00030,2026-09-01 18:10:00,15537,Card,Success,
TXN00031,2026-09-01 08:11:00,22491,Card,Success,
TXN00032,2026-09-01 17:09:00,24804,UPI,Success,
TXN00033,2026-09-01 09:54:00,9817,UPI,Success,
TXN00034,2026-09-01 20:19:00,23782,UPI,Success,
TXN00035,2026-09-01 11:02:00,16835,NetBanking,Success,
TXN00036,2026-09-01 13:05:00,21137,Card,Success,
TXN00037,2026-09-01 14:22:00,5493,Card,Success,
TXN00038,2026-09-01 17:03:00,218,Card,Success,
TXN00039,2026-09-01 09:54:00,12094,NetBanking,Success,
TXN00040,2026-09-01 13:14:00,8046,UPI,Success,
TXN00041,2026-09-01 09:20:00,3006,Card,Success,
TXN00042,2026-09-01 20:58:00,17655,Card,Success,
TXN00043,2026-09-01 16:06:00,18215,UPI,Success,
TXN00044,2026-09-01 18:21:00,14065,Wallet,Success,
TXN00045,2026-09-01 20:53:00,24118,Card,Success,
TXN00046,2026-09-01 14:48:00,22209,Card,Success,
TXN00047,2026-09-01 16:49:00,14994,UPI,Success,
TXN00048,2026-09-01 13:46:00,889,Card,Success,
TXN00049,2026-09-01 11:45:00,435,UPI,Success,
TXN00050,2026-09-01 11:54:00,2408,NetBanking,Success,
TXN00051,2026-09-01 09:12:00,17047,UPI,Success,
TXN00052,2026-09-01 11:39:00,17869,UPI,Success,
TXN00053,2026-09-01 17:44:00,19081,UPI,Success,
TXN00054,2026-09-01 21:46:00,13538,UPI,Failed,Payment declined
TXN00055,2026-09-01 14:02:00,14079,UPI,Success,
TXN00056,2026-09-01 08:55:00,22264,Card,Success,
TXN00057,2026-09-01 09:02:00,13393,Card,Success,
TXN00058,2026-09-01 09:51:00,8347,UPI,Success,
TXN00059,2026-09-01 10:23:00,14024,UPI,Success,
TXN00060,2026-09-01 09:17:00,14720,NetBanking,Success,
TXN00061,2026-09-01 09:40:00,1857,Card,Success,
TXN00062,2026-09-01 08:15:00,3256,NetBanking,Success,
TXN00063,2026-09-01 10:50:00,13517,UPI,Success,
TXN00064,2026-09-01 14:50:00,2121,UPI,Failed,Payment declined
TXN00065,2026-09-01 12:31:00,15109,UPI,Success,
TXN00066,2026-09-01 20:28:00,18411,Card,Success,
TXN00067,2026-09-01 11:14:00,9922,UPI,Failed,Authentication failed
TXN00068,2026-09-01 09:02:00,24709,UPI,Failed,Payment declined
